origin,destination,distance
9,13,1323.32
9,15,8046.48
9,16,3430.51
9,17,1292.18
9,18,1135.38
9,19,1671.96
9,20,2028.27
9,21,1135.1
9,22,2052.39
9,23,399.84
9,24,423.84
9,25,153.62
9,26,946.65
9,27,1718.88
9,28,1779.54
9,29,1682.48
9,30,3094.94
9,31,2028.48
9,32,3725.92
9,33,218.43
9,34,175.11
9,35,3010.56
9,36,142.8
9,37,888.07
9,38,2198.0
9,39,841.44
9,40,2179.46
9,41,3992.12
9,42,362.76
9,44,122.39
9,45,1095.28
9,46,2138.24
9,47,1326.91
9,48,2479.94
9,49,3259.55
9,50,290.48
9,51,582.7
9,53,3866.13
9,54,726.17
9,55,1344.24
9,56,2801.31
9,72,2657.4
10,1,1226.65
10,2,5402.53
10,4,3301.45
10,5,1585.96
10,6,3858.51
10,8,2536.65
10,9,330.04
10,11,135.12
10,12,1397.65
10,13,996.17
10,15,7877.11
10,16,3305.54
10,17,1109.45
10,18,920.13
10,19,1502.81
10,20,1805.61
10,21,861.01
10,22,1737.4
10,23,728.97
10,24,110.37
10,25,481.76
10,26,825.8
10,27,1616.14
10,28,1467.73
10,29,1447.42
10,30,2996.47
10,31,1847.95
10,32,3534.69
10,33,545.5
10,34,155.97
10,35,2774.02
10,36,251.46
10,37,558.03
10,38,2118.94
10,39,631.11
10,40,1922.77
10,41,3880.33
10,42,172.98
10,44,439.03
10,45,765.3
10,46,2004.26
10,47,1027.82
10,48,2186.09
10,49,3090.55
10,50,576.94
10,51,253.97
10,53,3777.92
10,54,446.33
10,55,1223.46
10,56,2651.38
10,72,2505.71
11,1,1094.6
11,2,5362.41
11,4,3174.65
11,5,1452.44
11,6,3739.33
11,8,2420.51
11,9,454.08
11,10,135.12
11,12,1304.64
11,13,869.43
11,15,7762.56
11,16,3207.07
11,17,1002.5
11,18,804.59
11,19,1396.75
11,20,1682.61
11,21,729.31
11,22,1603.98
11,23,847.85
11,24,31.16
11,25,607.54
11,26,748.45
11,27,1531.91
11,28,1333.57
11,29,1322.41
11,30,2907.22
11,31,1736.49
11,32,3416.92
11,33,663.44
11,34,279.56
11,35,2646.4
11,36,351.78
11,37,443.22
11,38,2039.66
11,39,523.76
11,40,1792.07
11,41,3785.06
11,42,170.74
11,44,568.34
11,45,650.33
11,46,1906.77
11,47,892.72
11,48,2051.01
11,49,2979.33
11,50,675.07
11,51,135.0
11,53,3690.45
11,54,317.12
11,55,1137.14
11,56,2546.62
11,72,2517.17
12,1,756.97
12,2,6125.69
12,4,2951.71
12,5,1331.19
12,6,3649.81
12,8,2528.55
12,9,1716.15
12,10,1397.65
12,11,1304.64
12,13,656.69
12,15,7602.22
12,16,3494.88
12,17,1620.57
12,18,1433.9
12,19,1879.33
12,20,1811.94
12,21,1163.3
12,22,1006.48
12,23,2112.85
12,24,1334.71
12,25,1856.89
12,26,1688.67
12,27,2200.88
12,28,926.88
12,29,1536.11
12,30,3333.8
12,31,2054.13
12,32,3380.99
12,33,1934.51
12,34,1550.52
12,35,2461.27
12,36,1647.49
12,37,876.93
12,38,2665.69
12,39,1406.58
12,40,1677.46
12,41,4071.76
12,42,1466.98
12,44,1804.33
12,45,691.01
12,46,2368.96
12,47,993.02
12,48,1558.73
12,49,3102.07
12,50,1973.88
12,51,1171.4
12,53,4077.65
12,54,1226.0
12,55,1888.16
12,56,2817.6
12,72,1890.04
13,1,270.14
13,2,5489.97
13,4,2593.67
13,5,834.98
13,6,3245.55
13,8,2018.47
13,9,1323.32
13,10,996.17
13,11,869.43
13,12,656.69
13,15,7266.27
13,16,2948.93
13,17,964.46
13,18,778.47
13,19,1243.52
13,20,1259.91
13,21,508.21
13,22,776.38
13,23,1716.03
13,24,900.0
13,25,1476.55
13,26,1052.79
13,27,1550.78
13,28,537.89
13,29,936.51
13,30,2746.65
13,31,1459.95
13,32,2949.11
13,33,1531.72
13,34,1148.38
13,35,2070.82
13,36,1215.46
13,37,453.61
13,38,2027.89
13,39,788.36
13,40,1213.01
13,41,3534.67
13,42,995.66
13,44,1435.19
13,45,276.55
13,46,1753.09
13,47,349.29
13,48,1295.55
13,49,2602.89
13,50,1526.57
13,51,742.25
13,53,3511.12
13,54,668.37
13,55,1231.47
13,56,2262.58
13,72,2426.77
15,1,7010.26
15,2,4534.2
15,4,4675.01
15,5,6436.84
15,6,4034.36
15,8,5342.24
15,9,8046.48
15,10,7877.11
15,11,7762.56
15,12,7602.22
15,13,7266.27
15,16,4648.11
15,17,6770.0
15,18,6958.25
15,19,6380.09
15,20,6093.31
15,21,7071.05
15,22,6605.23
15,23,8222.03
15,24,7775.59
15,25,8149.97
15,26,7099.83
15,27,6346.22
15,28,6756.61
15,29,6457.19
15,30,5028.39
15,31,6029.75
15,32,4349.53
15,33,8119.04
15,34,7945.14
15,35,5195.45
15,36,7907.49
15,37,7603.78
15,38,5918.38
15,39,7246.25
15,40,6059.21
15,41,4136.65
15,42,7734.09
15,44,8155.47
15,45,7517.54
15,46,5912.59
15,47,7004.71
15,48,6046.34
15,49,4789.12
15,50,7988.22
15,51,7721.25
15,53,4339.65
15,54,7452.35
15,55,6704.53
15,56,5246.25
15,72,9409.16
16,1,2753.35
16,2,2911.89
16,4,1241.74
16,5,2163.72
16,6,1033.3
16,8,981.01
16,9,3430.51
16,10,3305.54
16,11,3207.07
16,12,3494.88
16,13,2948.93
16,15,4648.11
16,17,2208.06
16,18,2419.51
16,19,1816.2
16,20,1692.26
16,21,2598.41
16,22,2567.27
16,23,3577.66
16,24,3214.13
16,25,3521.67
16,26,2492.02
16,27,1712.41
16,28,2570.77
16,29,2019.01
16,30,415.67
16,31,1508.28
16,32,805.99
16,33,3483.29
16,34,3349.17
16,35,1313.51
16,36,3296.59
16,37,3158.8
16,38,1270.8
16,39,2683.81
16,40,1832.1
16,41,587.59
16,42,3147.59
16,44,3532.74
16,45,3138.89
16,46,1301.27
16,47,2617.85
16,48,2156.48
16,49,504.86
16,50,3347.61
16,51,3195.04
16,53,605.75
16,54,2919.22
16,55,2090.26
16,56,686.81
16,72,5367.26
17,1,934.55
17,2,4549.8
17,4,2251.41
17,5,778.83
17,6,2762.98
17,8,1436.11
17,9,1292.18
17,10,1109.45
17,11,1002.5
17,12,1620.57
17,13,964.46
17,15,6770.0
17,16,2208.06
17,18,221.19
