origin,destination,total_flow
46,10,2889.0
46,24,68416.0
46,31,325876.0
46,11,2333.0
46,18,333023.0
46,17,452.0
46,32,120173.0
46,54,1603.0
46,38,6426.0
46,49,235.0
46,51,4160.0
46,8,919.0
46,6,25210.0
46,29,6382.0
46,21,5812.0
46,20,18413.0
46,37,12825.0
46,47,3248.0
46,45,11687.0
46,30,5801.0
46,40,105.0
46,5,1749.0
46,4,13477.0
46,35,9145.0
46,13,258792.0
46,1,1580.0
46,28,75.0
46,48,5024.0
46,22,11068.0
46,12,1020.0
46,50,199078.0
46,2,1132001.0
46,15,534.0
46,33,14902.0
46,27,881.0
46,25,145.0
46,41,91.0
56,23,2727.0
56,26,15415.0
56,36,6584.0
56,44,300.0
56,16,980.0
56,55,55274.0
56,9,5468.0
56,46,59823.0
56,34,2486.0
56,42,5668.0
56,53,64.0
56,19,120.0
56,39,1544.0
56,10,1659.0
56,24,8111.0
56,31,24300.0
56,11,2183.0
56,18,288175.0
56,17,1359.0
56,32,477371.0
56,54,3332.0
56,38,11905.0
56,49,114.0
56,51,3121.0
56,8,4565.0
56,6,13424.0
56,29,5610.0
56,21,1956.0
56,20,6805.0
56,37,1717117.0
56,47,3962.0
56,45,6886.0
56,30,27688.0
56,40,63.0
56,5,1666.0
56,4,10635.0
56,35,5247.0
56,13,789344.0
56,1,3578.0
56,28,50.0
56,48,3833.0
56,22,10998.0
56,12,402.0
56,50,400689.0
56,2,13961.0
56,15,1879.0
56,33,270897.0
56,27,596.0
56,25,70.0
56,41,55.0
34,23,77511.0
34,26,229843.0
34,36,108511.0
34,44,264.0
34,16,474.0
34,55,506593.0
34,9,562264.0
34,46,6949.0
34,56,2486.0
34,42,10668.0
34,53,65.0
34,19,513.0
34,39,13245.0
34,10,8365.0
34,24,47781.0
34,31,15718.0
34,11,19976.0
34,18,47731.0
34,17,241.0
34,32,962.0
34,54,1343.0
34,38,5411.0
34,49,577.0
34,51,21575.0
34,8,711.0
34,6,74365.0
34,29,141227.0
34,21,224.0
34,20,850517.0
34,37,4572.0
34,47,1555.0
34,45,48529.0
34,30,12248.0
34,40,434.0
34,5,48045.0
34,4,290.0
34,35,2797537.0
34,13,205007.0
34,1,1271.0
34,28,226.0
34,48,56863.0
34,22,4563.0
34,12,23675.0
34,50,115526.0
34,2,22573.0
34,15,116.0
34,33,2985.0
34,27,3055.0
34,25,840.0
34,41,754.0
42,23,385991.0
42,26,284305.0
42,36,71789.0
42,44,426.0
42,16,499.0
42,55,30257.0
42,9,7801.0
42,46,3951.0
42,56,5668.0
42,34,10668.0
42,53,66.0
42,19,250.0
42,39,3680.0
42,10,3179.0
42,24,8590.0
42,31,4178.0
42,11,1142276.0
42,18,37876.0
42,17,219.0
42,32,1326.0
42,54,1734.0
42,38,9701.0
42,49,322.0
42,51,6080.0
42,8,1848.0
42,6,23417.0
42,29,13873.0
42,21,154.0
42,20,12595.0
42,37,33169.0
42,47,1729.0
42,45,12105.0
42,30,512240.0
42,40,199.0
42,5,6815.0
42,4,325.0
42,35,36866.0
42,13,2165878.0
42,1,1549.0
42,28,99.0
42,48,8073.0
42,22,4947.0
42,12,1098.0
42,50,221328.0
42,2,3885.0
42,15,151.0
42,33,5605.0
42,27,1219.0
42,25,221.0
42,41,213.0
53,23,87.0
53,26,1425.0
53,36,391.0
53,44,146.0
53,16,1717.0
53,55,611.0
53,9,206.0
53,46,87.0
53,56,64.0
53,34,65.0
53,42,66.0
53,19,7.0
53,39,114.0
53,10,124.0
53,24,402.0
53,31,307.0
53,11,32.0
53,18,170.0
53,17,1153.0
53,32,61.0
53,54,2115.0
53,38,428.0
53,49,14.0
53,51,263.0
53,8,62.0
53,6,1122.0
53,29,382.0
53,21,486.0
53,20,454.0
53,37,78.0
53,47,7767.0
53,45,480.0
53,30,53.0
53,40,5.0
53,5,99.0
53,4,51.0
53,35,157.0
53,13,2871.0
53,1,152.0
53,28,2.0
53,48,269.0
53,22,278513.0
53,12,17.0
53,50,12943.0
53,2,203.0
53,15,300.0
53,33,304.0
53,27,46.0
53,25,5.0
53,41,5.0
19,23,403.0
19,26,5913.0
19,36,1828.0
19,44,30.0
19,16,48.0
19,55,2513.0
19,9,1023.0
19,46,174.0
19,56,120.0
19,34,513.0
19,42,250.0
19,53,7.0
19,39,3137.0
19,10,194402.0
19,24,3305.0
19,31,530.0
19,11,136.0
19,18,555.0
19,17,23.0
19,32,70.0
19,54,113.0
19,38,493.0
19,49,343967.0
19,51,11596.0
19,8,64.0
19,6,102170.0
19,29,3000.0
19,21,21.0
19,20,4242.0
19,37,182.0
19,47,147.0
19,45,12764.0
19,30,157.0
19,40,8799.0
19,5,747.0
19,4,20.0
19,35,754.0
19,13,6510.0
19,1,107.0
19,28,62712.0
19,48,3329.0
19,22,504.0
19,12,351.0
19,50,11612.0
19,2,949.0
19,15,14.0
19,33,288.0
19,27,23056.0
19,25,354.0
19,41,185.0
39,23,8507.0
39,26,195969.0
39,36,48257.0
39,44,348.0
39,16,630.0
39,55,34455.0
39,9,21789.0
39,46,2300.0
39,56,1544.0
39,34,13245.0
39,42,3680.0
39,53,114.0
39,19,3137.0
39,10,52537.0
39,24,36718.0
39,31,6897.0
39,11,2535.0
39,18,6392.0
39,17,346.0
39,32,915.0
39,54,1405.0
39,38,4463.0
39,49,4509.0
39,51,1842747.0
39,8,803.0
39,6,481670.0
39,29,457735.0
39,21,312.0
39,20,201092.0
39,37,2545.0
39,47,1637.0
39,45,3680299.0
39,30,2250.0
39,40,3405.0
39,5,23510.0
39,4,368.0
39,35,18962.0
39,13,50786.0
39,1,1305.0
39,28,1712.0
39,48,539760.0
39,22,4258.0
39,12,38894.0
39,50,76330.0
39,2,10422.0
39,15,193.0
39,33,2953.0
39,27,51068.0
39,25,799660.0
39,41,558094.0
10,23,5558.0
10,26,48880.0
10,36,20882.0
10,44,367.0
10,16,638.0
10,55,24193.0
10,9,15294.0
10,46,2889.0
10,56,1659.0
10,34,8365.0
10,42,3179.0
10,53,124.0
10,19,194402.0
10,39,52537.0
10,24,35300.0
10,31,5002.0
10,11,2062.0
10,18,5486.0
10,17,342.0
10,32,938.0
10,54,1444.0
10,38,4256.0
10,49,566743.0
10,51,228239.0
10,8,827.0
10,6,1510246.0
10,29,46954.0
10,21,321.0
10,20,56872.0
10,37,2261.0
10,47,1572.0
10,45,204293.0
10,30,2117.0
10,40,879080.0
10,5,12264.0
10,4,432.0
10,35,12215.0
10,13,42185.0
10,1,1378.0
10,28,158403.0
10,48,58786.0
10,22,3947.0
10,12,8017.0
10,50,64211.0
10,2,8799.0
10,15,201.0
10,33,2913.0
10,27,1767490.0
10,25,12337.0
10,41,3370.0
24,23,10845.0
24,26,67916.0
24,36,34939.0
24,44,941.0
24,16,1926.0
24,55,609256.0
24,9,446414.0
24,46,68416.0
24,56,8111.0
24,34,47781.0
24,42,8590.0
24,53,402.0
24,19,3305.0
24,39,36718.0
24,10,35300.0
24,31,477081.0
24,11,5149.0
24,18,53872.0
24,17,1277.0
24,32,5365.0
24,54,4251.0
24,38,13505.0
24,49,4252.0
24,51,54149.0
24,8,2350.0
24,6,357063.0
24,29,42300.0
24,21,3452.0
24,20,1503067.0
24,37,8199.0
24,47,5671.0
24,45,226843.0
24,30,7428.0
24,40,2320.0
24,5,12401.0
24,4,3164.0
24,35,33000.0
24,13,157911.0
24,1,4135.0
24,28,2144.0
24,48,51518.0
24,22,15354.0
24,12,19560.0
24,50,307083.0
24,2,3724516.0
24,15,813.0
24,33,11473.0
24,27,15646.0
24,25,2986.0
24,41,2881.0
31,23,4598.0
31,26,27187.0
31,36,9882.0
31,44,586.0
31,16,2815.0
31,55,273218.0
31,9,43187.0
31,46,325876.0
31,56,24300.0
31,34,15718.0
31,42,4178.0
31,53,307.0
31,19,530.0
31,39,6897.0
31,10,5002.0
31,24,477081.0
31,11,3475.0
31,18,67951.0
31,17,6325.0
31,32,63311.0
31,54,3255.0
31,38,11109.0
31,49,576.0
31,51,8995.0
31,8,2191.0
31,6,56381.0
31,29,11654.0
31,21,169843.0
31,20,58010.0
31,37,14472.0
31,47,7459.0
31,45,30978.0
31,30,7688.0
31,40,342.0
31,5,2923.0
31,4,124499.0
31,35,15962.0
31,13,126753.0
31,1,4549.0
31,28,460.0
31,48,13044.0
31,22,23895.0
31,12,3526.0
31,50,337755.0
31,2,1759937.0
31,15,3936.0
31,33,29311.0
31,27,2036.0
31,25,385.0
31,41,492.0
11,23,1928426.0
11,26,260476.0
11,36,115264.0
11,44,188.0
11,16,264.0
11,55,60361.0
11,9,7892.0
11,46,2333.0
11,56,2183.0
11,34,19976.0
11,42,1142276.0
11,53,32.0
11,19,136.0
11,39,2535.0
11,10,2062.0
11,24,5149.0
11,31,3475.0
11,18,39684.0
11,17,105.0
11,32,675.0
11,54,1008.0
11,38,5255.0
11,49,156.0
11,51,4328.0
11,8,735.0
11,6,19809.0
11,29,11005.0
11,21,79.0
11,20,9018.0
11,37,16886.0
11,47,1044.0
11,45,10259.0
11,30,858187.0
11,40,115.0
11,5,9011.0
11,4,145.0
11,35,148094.0
11,13,658040.0
11,1,833.0
11,28,65.0
11,48,5602.0
11,22,3022.0
11,12,663.0
11,50,108959.0
11,2,3790.0
11,15,65.0
11,33,2564.0
11,27,784.0
11,25,190.0
11,41,109.0
18,23,35565.0
18,26,102035.0
18,36,37770.0
18,44,606.0
18,16,1133.0
18,55,3238689.0
18,9,151133.0
18,46,333023.0
18,56,288175.0
18,34,47731.0
18,42,37876.0
18,53,170.0
18,19,555.0
18,39,6392.0
18,10,5486.0
18,24,53872.0
18,31,67951.0
18,11,39684.0
18,17,646.0
18,32,26965.0
18,54,3290.0
18,38,15321.0
18,49,550.0
18,51,10101.0
18,8,2763.0
18,6,48686.0
18,29,19050.0
18,21,1328.0
18,20,58334.0
18,37,112887.0
18,47,4037.0
18,45,27045.0
18,30,549539.0
18,40,367.0
18,5,7599.0
18,4,4205.0
18,35,103721.0
18,13,1149495.0
18,1,3244.0
18,28,224.0
18,48,14701.0
18,22,16921.0
18,12,2696.0
18,50,345529.0
18,2,84062.0
18,15,441.0
18,33,25783.0
18,27,2303.0
18,25,522.0
18,41,382.0
17,23,215.0
17,26,3627.0
17,36,1044.0
17,44,234.0
17,16,219621.0
17,55,1933.0
17,9,492.0
17,46,452.0
17,56,1359.0
17,34,241.0
17,42,219.0
17,53,1153.0
17,19,23.0
17,39,346.0
17,10,342.0
17,24,1277.0
17,31,6325.0
17,11,105.0
17,18,646.0
17,32,2130.0
17,54,3534.0
17,38,3413.0
17,49,23.0
17,51,676.0
17,8,363.0
17,6,3332.0
17,29,1125.0
17,21,28592.0
17,20,1225.0
17,37,519.0
17,47,10132.0
17,45,1450.0
