origin,destination,total_flow
23,26,85195.0
23,36,186840.0
23,44,27.0
23,16,52.0
23,55,7814.0
23,9,2376.0
23,46,427.0
23,56,262.0
23,34,7692.0
23,42,38929.0
23,53,6.0
23,19,50.0
23,39,838.0
23,10,555.0
23,24,1035.0
23,31,469.0
23,11,193254.0
23,18,3549.0
23,17,23.0
23,32,95.0
23,54,132.0
23,38,679.0
23,49,39.0
23,51,1069.0
23,8,103.0
23,6,4097.0
23,29,6339.0
23,21,17.0
23,20,2245.0
23,37,799.0
23,47,156.0
23,45,2091.0
23,30,5037.0
23,40,26.0
23,5,7167.0
23,4,26.0
23,35,82104.0
23,13,58068.0
23,1,152.0
23,28,10.0
23,48,2264.0
23,22,399.0
23,12,251.0
23,50,13484.0
23,2,575.0
23,15,12.0
23,33,358.0
23,27,233.0
23,25,46.0
23,41,43.0
26,23,85195.0
26,36,497979.0
26,44,374.0
26,16,638.0
26,55,26054.0
26,9,18780.0
26,46,1813.0
26,56,1483.0
26,34,22919.0
26,42,28750.0
26,53,126.0
26,19,575.0
26,39,19426.0
26,10,4997.0
26,24,6604.0
26,31,2597.0
26,11,26065.0
26,18,10192.0
26,17,355.0
26,32,951.0
26,54,1362.0
26,38,4024.0
26,49,619.0
26,51,12623.0
26,8,946.0
26,6,22168.0
26,29,127973.0
26,21,254.0
26,20,29083.0
26,37,4606.0
26,47,1185.0
26,45,21691.0
26,30,11037.0
26,40,547.0
26,5,109618.0
26,4,352.0
26,35,50922.0
26,13,80415.0
26,1,1270.0
26,28,261.0
26,48,39770.0
26,22,2353.0
26,12,6789.0
26,50,45980.0
26,2,3149.0
26,15,257.0
26,33,2687.0
26,27,2965.0
26,25,1953.0
26,41,2011.0
36,23,186840.0
36,26,497979.0
36,44,120.0
36,16,216.0
36,55,12934.0
36,9,7475.0
36,46,902.0
36,56,654.0
36,34,11019.0
36,42,7241.0
36,53,38.0
36,19,211.0
36,39,4798.0
36,10,1992.0
36,24,3428.0
36,31,968.0
36,11,11506.0
36,18,3747.0
