origin,destination,total_flow
23,26,170369.0
23,36,373882.0
23,44,70.0
23,16,105.0
23,55,15570.0
23,9,4718.0
23,46,974.0
23,56,563.0
23,34,15490.0
23,42,76983.0
23,53,18.0
23,19,83.0
23,39,1717.0
23,10,1074.0
23,24,2183.0
23,31,930.0
23,11,385450.0
23,18,7111.0
23,17,40.0
23,32,177.0
23,54,292.0
23,38,1487.0
23,49,108.0
23,51,2109.0
23,8,212.0
23,6,8208.0
23,29,13199.0
23,21,33.0
23,20,4544.0
23,37,1629.0
23,47,321.0
23,45,4405.0
23,30,10013.0
23,40,57.0
23,5,14501.0
23,4,50.0
23,35,165475.0
23,13,116499.0
23,1,276.0
23,28,31.0
23,48,4431.0
23,22,835.0
23,12,501.0
23,50,26715.0
23,2,1107.0
23,15,32.0
23,33,726.0
23,27,421.0
23,25,107.0
23,41,103.0
26,23,170369.0
26,36,996880.0
26,44,768.0
26,16,1337.0
26,55,51746.0
26,9,37607.0
26,46,3530.0
26,56,3103.0
26,34,46189.0
26,42,57064.0
26,53,267.0
26,19,1106.0
26,39,39201.0
26,10,9816.0
26,24,13632.0
26,31,5413.0
26,11,52176.0
26,18,20169.0
26,17,733.0
26,32,1655.0
26,54,2704.0
26,38,8045.0
26,49,1236.0
26,51,25454.0
26,8,1980.0
26,6,44820.0
26,29,255584.0
26,21,513.0
26,20,57716.0
26,37,9203.0
26,47,2483.0
26,45,43431.0
26,30,22294.0
26,40,1147.0
26,5,220328.0
26,4,620.0
26,35,100569.0
26,13,161439.0
26,1,2518.0
26,28,592.0
26,48,78952.0
26,22,4543.0
26,12,13340.0
26,50,92458.0
26,2,6350.0
26,15,492.0
26,33,5373.0
26,27,5706.0
26,25,3963.0
26,41,3893.0
36,23,373882.0
36,26,996880.0
36,44,224.0
36,16,402.0
36,55,25803.0
36,9,15136.0
36,46,1711.0
36,56,1321.0
36,34,21689.0
36,42,14127.0
36,53,86.0
36,19,400.0
36,39,9707.0
36,10,4098.0
36,24,7066.0
36,31,1956.0
36,11,23089.0
36,18,7575.0
36,17,184.0
36,32,565.0
36,54,954.0
36,38,3350.0
36,49,399.0
36,51,10439.0
36,8,675.0
36,6,27721.0
36,29,142904.0
36,21,147.0
36,20,23120.0
36,37,3238.0
36,47,971.0
36,45,17612.0
36,30,6090.0
36,40,394.0
36,5,439991.0
36,4,238.0
36,35,271308.0
36,13,93435.0
36,1,911.0
36,28,159.0
36,48,32711.0
36,22,2039.0
36,12,4319.0
36,50,51899.0
36,2,3114.0
36,15,116.0
36,33,2000.0
36,27,2148.0
36,25,927.0
36,41,758.0
44,23,70.0
44,26,768.0
44,36,224.0
44,16,84.0
44,55,353.0
44,9,139.0
44,46,49.0
44,56,57.0
44,34,42.0
44,42,65.0
44,53,29.0
44,19,11.0
44,39,74.0
44,10,70.0
44,24,206.0
44,31,138.0
44,11,35.0
44,18,124.0
44,17,39.0
44,32,63.0
44,54,344.0
44,38,601.0
44,49,2.0
44,51,111.0
44,8,83.0
44,6,583.0
44,29,212.0
44,21,13.0
44,20,238.0
44,37,100.0
44,47,473.0
44,45,238.0
44,30,52.0
44,40,3.0
44,5,63.0
44,4,17.0
44,35,96.0
44,13,2017.0
44,1,164.0
44,28,1.0
44,48,137.0
44,22,674.0
44,12,9.0
44,50,143363.0
44,2,90.0
44,15,30.0
44,33,253.0
44,27,21.0
44,25,5.0
44,41,1.0
16,23,105.0
16,26,1337.0
16,36,402.0
16,44,84.0
16,55,614.0
16,9,191.0
16,46,164.0
16,56,228.0
16,34,98.0
16,42,101.0
16,53,365.0
16,19,9.0
16,39,125.0
16,10,140.0
16,24,369.0
16,31,562.0
16,11,56.0
16,18,235.0
16,17,43573.0
16,32,160.0
16,54,5779.0
16,38,3425.0
16,49,6.0
16,51,233.0
16,8,199.0
16,6,1150.0
16,29,376.0
16,21,146.0
16,20,467.0
16,37,229.0
16,47,150994.0
16,45,532.0
16,30,87.0
16,40,9.0
16,5,100.0
16,4,94.0
16,35,176.0
16,13,5120.0
16,1,7141.0
16,48,283.0
16,22,92675.0
16,12,23.0
16,50,105385.0
16,2,215.0
16,15,1149.0
16,33,5788.0
16,27,43.0
16,25,4.0
16,41,5.0
55,23,15570.0
55,26,51746.0
55,36,25803.0
55,44,353.0
55,16,614.0
55,9,920401.0
55,46,101987.0
55,56,11077.0
55,34,102087.0
55,42,6114.0
55,53,127.0
55,19,466.0
55,39,6764.0
55,10,4853.0
55,24,121647.0
55,31,54508.0
55,11,11837.0
55,18,647942.0
55,17,392.0
55,32,6376.0
55,54,1552.0
55,38,5603.0
55,49,504.0
55,51,9739.0
55,8,961.0
55,6,39831.0
55,29,17262.0
55,21,639.0
55,20,113196.0
55,37,12237.0
55,47,2032.0
55,45,30926.0
55,30,20306.0
55,40,322.0
55,5,6624.0
55,4,1239.0
55,35,99554.0
55,13,161547.0
55,1,1529.0
55,28,219.0
55,48,21179.0
55,22,4915.0
55,12,6783.0
55,50,109138.0
55,2,128530.0
55,15,179.0
55,33,4502.0
55,27,2090.0
55,25,648.0
55,41,507.0
9,23,4718.0
9,26,37607.0
9,36,15136.0
9,44,139.0
9,16,191.0
9,55,920401.0
9,46,6607.0
9,56,1114.0
9,34,111952.0
9,42,1555.0
9,53,33.0
9,19,204.0
9,39,4503.0
9,10,2965.0
9,24,89108.0
9,31,8656.0
9,11,1533.0
9,18,30179.0
9,17,105.0
9,32,528.0
9,54,566.0
9,38,1795.0
9,49,265.0
9,51,6034.0
9,8,273.0
9,6,25923.0
9,29,14275.0
9,21,124.0
9,20,406478.0
9,37,1689.0
9,47,724.0
9,45,20159.0
9,30,2202.0
9,40,189.0
9,5,3220.0
9,4,179.0
9,35,55154.0
9,13,46058.0
9,1,503.0
9,28,129.0
9,48,11777.0
9,22,1818.0
9,12,5222.0
9,50,46583.0
9,2,21125.0
9,15,54.0
9,33,1272.0
9,27,1173.0
9,25,313.0
9,41,259.0
46,23,974.0
46,26,3530.0
