origin,destination,total_flow
23,26,34228.0
23,36,75171.0
23,44,9.0
23,16,20.0
23,55,3035.0
23,9,943.0
23,46,173.0
23,56,101.0
23,34,3061.0
23,42,15470.0
23,53,7.0
23,19,13.0
23,39,298.0
23,10,206.0
23,24,485.0
23,31,162.0
23,11,77048.0
23,18,1400.0
23,17,9.0
23,32,37.0
23,54,58.0
23,38,299.0
23,49,22.0
23,51,410.0
23,8,55.0
23,6,1626.0
23,29,2596.0
23,21,10.0
23,20,938.0
23,37,348.0
23,47,54.0
23,45,897.0
23,30,2024.0
23,40,17.0
23,5,2821.0
23,4,11.0
23,35,32908.0
23,13,23239.0
23,1,49.0
23,28,6.0
23,48,832.0
23,22,179.0
23,12,96.0
23,50,5493.0
23,2,213.0
23,15,4.0
23,33,161.0
23,27,104.0
23,25,23.0
23,41,16.0
26,23,34228.0
26,36,199564.0
26,44,122.0
26,16,260.0
26,55,10223.0
26,9,7644.0
26,46,750.0
26,56,572.0
26,34,9117.0
26,42,11469.0
26,53,52.0
26,19,244.0
26,39,7666.0
26,10,1939.0
26,24,2694.0
26,31,1098.0
26,11,10387.0
26,18,4061.0
26,17,165.0
26,32,333.0
26,54,568.0
26,38,1564.0
26,49,248.0
26,51,5015.0
26,8,435.0
26,6,9038.0
26,29,51028.0
26,21,113.0
26,20,11574.0
26,37,1777.0
26,47,487.0
26,45,8786.0
26,30,4434.0
26,40,252.0
26,5,43915.0
26,4,165.0
26,35,20100.0
26,13,32107.0
26,1,509.0
26,28,114.0
26,48,15901.0
26,22,897.0
26,12,2706.0
26,50,18663.0
26,2,1276.0
26,15,94.0
26,33,996.0
26,27,1178.0
26,25,766.0
26,41,752.0
36,23,75171.0
36,26,199564.0
36,44,49.0
36,16,90.0
36,55,5231.0
36,9,3097.0
36,46,372.0
36,56,257.0
36,34,4274.0
36,42,2827.0
36,53,21.0
36,19,74.0
36,39,1952.0
36,10,825.0
36,24,1443.0
36,31,414.0
36,11,4616.0
36,18,1554.0
36,17,45.0
36,32,105.0
36,54,187.0
36,38,645.0
36,49,82.0
36,51,2036.0
36,8,119.0
36,6,5477.0
36,29,28600.0
36,21,29.0
36,20,4610.0
36,37,625.0
36,47,187.0
36,45,3527.0
36,30,1215.0
36,40,90.0
36,5,88133.0
36,4,37.0
36,35,54127.0
36,13,18818.0
36,1,178.0
36,28,38.0
36,48,6424.0
36,22,376.0
36,12,866.0
36,50,10502.0
36,2,659.0
36,15,21.0
36,33,426.0
36,27,461.0
36,25,214.0
36,41,144.0
44,23,9.0
44,26,122.0
44,36,49.0
44,16,13.0
44,55,65.0
44,9,24.0
44,46,9.0
44,56,7.0
44,34,16.0
44,42,17.0
44,53,6.0
44,19,2.0
44,39,13.0
44,10,15.0
44,24,34.0
44,31,29.0
44,11,4.0
44,18,27.0
44,17,8.0
44,32,17.0
44,54,72.0
44,38,116.0
44,49,3.0
44,51,16.0
44,8,24.0
44,6,138.0
44,29,45.0
44,21,2.0
44,20,51.0
44,37,21.0
44,47,97.0
44,45,55.0
44,30,7.0
44,5,10.0
44,4,2.0
44,35,27.0
44,13,398.0
44,1,39.0
44,28,1.0
44,48,30.0
44,22,125.0
44,12,2.0
44,50,28685.0
44,2,26.0
44,15,4.0
44,33,51.0
44,27,6.0
44,25,2.0
44,41,2.0
16,23,20.0
16,26,260.0
16,36,90.0
16,44,13.0
16,55,127.0
16,9,43.0
16,46,33.0
16,56,42.0
16,34,30.0
16,42,31.0
16,53,49.0
16,19,2.0
16,39,26.0
16,10,22.0
16,24,75.0
16,31,103.0
16,11,10.0
16,18,54.0
16,17,8736.0
16,32,29.0
16,54,1149.0
16,38,731.0
16,49,1.0
16,51,55.0
16,8,35.0
16,6,246.0
16,29,70.0
16,21,19.0
16,20,71.0
16,37,54.0
16,47,30262.0
16,45,93.0
16,30,16.0
16,5,19.0
16,4,17.0
16,35,39.0
16,13,1075.0
16,1,1376.0
16,28,2.0
16,48,61.0
16,22,18308.0
16,12,3.0
16,50,20979.0
16,2,40.0
16,15,235.0
16,33,1113.0
16,27,6.0
16,41,2.0
55,23,3035.0
55,26,10223.0
55,36,5231.0
55,44,65.0
55,16,127.0
55,9,184137.0
55,46,20389.0
55,56,2306.0
55,34,20250.0
55,42,1211.0
55,53,43.0
55,19,97.0
55,39,1456.0
55,10,988.0
55,24,24532.0
55,31,10934.0
55,11,2374.0
55,18,129606.0
55,17,77.0
55,32,1253.0
55,54,329.0
55,38,1073.0
55,49,100.0
55,51,1846.0
55,8,206.0
55,6,8044.0
55,29,3447.0
55,21,114.0
55,20,22574.0
55,37,2416.0
55,47,432.0
55,45,6074.0
55,30,3978.0
55,40,66.0
55,5,1308.0
55,4,237.0
55,35,19738.0
55,13,32278.0
55,1,300.0
55,28,52.0
55,48,4303.0
55,22,1052.0
55,12,1332.0
55,50,21558.0
55,2,25713.0
55,15,43.0
55,33,935.0
55,27,426.0
55,25,129.0
55,41,93.0
9,23,943.0
9,26,7644.0
9,36,3097.0
9,44,24.0
9,16,43.0
9,55,184137.0
9,46,1354.0
9,56,232.0
9,34,22584.0
9,42,306.0
9,53,9.0
9,19,35.0
9,39,899.0
9,10,618.0
9,24,17980.0
9,31,1689.0
9,11,323.0
9,18,6112.0
9,17,16.0
9,32,94.0
9,54,103.0
9,38,385.0
9,49,39.0
9,51,1237.0
9,8,62.0
9,6,5224.0
9,29,2857.0
9,21,20.0
9,20,81413.0
9,37,336.0
9,47,125.0
9,45,4015.0
9,30,452.0
9,40,41.0
9,5,654.0
9,4,40.0
9,35,10922.0
9,13,9245.0
9,1,103.0
9,28,21.0
9,48,2284.0
9,22,391.0
9,12,1004.0
9,50,9286.0
9,2,4311.0
9,15,9.0
9,33,248.0
9,27,225.0
9,25,72.0
9,41,67.0
46,23,173.0
46,26,750.0
46,36,372.0
46,44,9.0
46,16,33.0
46,55,20389.0
46,9,1354.0
46,56,2506.0
46,34,263.0
46,42,164.0
46,53,1.0
46,19,5.0
46,39,79.0
46,10,108.0
46,24,2762.0
46,31,13140.0
46,11,94.0
46,18,13322.0
46,17,20.0
46,32,4814.0
46,54,78.0
46,38,278.0
46,49,11.0
46,51,176.0
46,8,33.0
46,6,966.0
46,29,252.0
46,21,246.0
46,20,705.0
46,37,491.0
46,47,142.0
46,45,491.0
46,30,219.0
46,40,7.0
46,5,77.0
46,4,532.0
46,35,346.0
46,13,10364.0
46,1,57.0
46,28,1.0
46,48,210.0
46,22,433.0
46,12,49.0
46,50,7979.0
46,2,45169.0
46,15,21.0
46,33,634.0
46,27,22.0
46,25,15.0
46,41,4.0
56,23,101.0
56,26,572.0
56,36,257.0
56,44,7.0
56,16,42.0
56,55,2306.0
56,9,232.0
56,46,2506.0
56,34,96.0
56,42,259.0
56,53,4.0
56,19,3.0
56,39,78.0
56,10,66.0
56,24,322.0
56,31,942.0
56,11,79.0
56,18,11550.0
56,17,44.0
56,32,18864.0
56,54,132.0
56,38,487.0
56,49,7.0
56,51,123.0
56,8,179.0
56,6,578.0
56,29,229.0
56,21,86.0
56,20,276.0
56,37,68724.0
56,47,145.0
56,45,290.0
56,30,1172.0
56,40,6.0
56,5,66.0
56,4,437.0
56,35,207.0
56,13,31478.0
56,1,133.0
56,28,2.0
56,48,163.0
56,22,432.0
56,12,17.0
56,50,16182.0
56,2,556.0
56,15,73.0
56,33,10905.0
56,27,21.0
56,25,4.0
56,41,4.0
34,23,3061.0
34,26,9117.0
34,36,4274.0
34,44,16.0
34,16,30.0
34,55,20250.0
34,9,22584.0
34,46,263.0
34,56,96.0
34,42,428.0
34,53,2.0
34,19,12.0
34,39,529.0
34,10,333.0
34,24,1946.0
34,31,648.0
34,11,791.0
34,18,1898.0
34,17,7.0
34,32,38.0
34,54,60.0
34,38,202.0
34,49,26.0
34,51,873.0
34,8,21.0
34,6,3070.0
34,29,5658.0
34,21,8.0
34,20,33972.0
34,37,182.0
34,47,58.0
34,45,1951.0
34,30,466.0
34,40,15.0
34,5,1957.0
34,4,12.0
34,35,111957.0
34,13,8138.0
34,1,48.0
34,28,5.0
34,48,2309.0
34,22,178.0
34,12,923.0
34,50,4628.0
34,2,826.0
34,15,6.0
34,33,121.0
34,27,121.0
34,25,32.0
34,41,18.0
42,23,15470.0
42,26,11469.0
42,36,2827.0
42,44,17.0
42,16,31.0
42,55,1211.0
42,9,306.0
42,46,164.0
42,56,259.0
42,34,428.0
42,53,2.0
42,19,7.0
42,39,134.0
42,10,129.0
42,24,325.0
42,31,153.0
42,11,45495.0
42,18,1531.0
42,17,11.0
42,32,60.0
42,54,72.0
42,38,404.0
42,49,7.0
42,51,264.0
42,8,72.0
42,6,911.0
42,29,586.0
42,21,8.0
42,20,531.0
42,37,1330.0
42,47,69.0
42,45,510.0
42,30,20504.0
42,40,6.0
42,5,283.0
42,4,12.0
42,35,1472.0
42,13,86780.0
42,1,63.0
42,28,3.0
42,48,320.0
42,22,195.0
42,12,54.0
42,50,8839.0
42,2,144.0
42,15,4.0
42,33,233.0
42,27,50.0
42,25,8.0
42,41,9.0
53,23,7.0
53,26,52.0
53,36,21.0
53,44,6.0
53,16,49.0
53,55,43.0
53,9,9.0
53,46,1.0
53,56,4.0
53,34,2.0
