origin,destination,total_flow
23,26,17016.0
23,36,37512.0
23,44,6.0
23,16,15.0
23,55,1525.0
23,9,489.0
23,46,96.0
23,56,56.0
23,34,1552.0
23,42,7522.0
23,53,1.0
23,19,6.0
23,39,139.0
23,10,120.0
23,24,228.0
23,31,97.0
23,11,38532.0
23,18,722.0
23,17,6.0
23,32,17.0
23,54,34.0
23,38,158.0
23,49,6.0
23,51,217.0
23,8,22.0
23,6,861.0
23,29,1320.0
23,21,4.0
23,20,458.0
23,37,166.0
23,47,24.0
23,45,456.0
23,30,1051.0
23,40,6.0
23,5,1385.0
23,4,5.0
23,35,16530.0
23,13,11634.0
23,1,20.0
23,28,2.0
23,48,425.0
23,22,75.0
23,12,39.0
23,50,2678.0
23,2,101.0
23,15,4.0
23,33,72.0
23,27,37.0
23,25,10.0
23,41,7.0
26,23,17016.0
26,36,99895.0
26,44,65.0
26,16,112.0
26,55,5169.0
26,9,3643.0
26,46,318.0
26,56,308.0
26,34,4606.0
26,42,5733.0
26,53,23.0
26,19,132.0
26,39,3927.0
26,10,997.0
26,24,1392.0
26,31,557.0
26,11,5234.0
26,18,2005.0
26,17,70.0
26,32,169.0
26,54,270.0
26,38,811.0
26,49,156.0
26,51,2528.0
26,8,168.0
26,6,4447.0
26,29,25526.0
26,21,46.0
26,20,5946.0
26,37,887.0
26,47,260.0
26,45,4247.0
26,30,2208.0
26,40,107.0
26,5,21970.0
26,4,76.0
26,35,10096.0
26,13,16116.0
26,1,239.0
26,28,58.0
26,48,7961.0
26,22,458.0
26,12,1317.0
26,50,9166.0
26,2,633.0
26,15,60.0
26,33,588.0
26,27,590.0
26,25,411.0
26,41,400.0
36,23,37512.0
36,26,99895.0
36,44,22.0
36,16,47.0
36,55,2541.0
36,9,1554.0
36,46,182.0
36,56,154.0
36,34,2200.0
36,42,1441.0
36,53,7.0
36,19,34.0
36,39,987.0
36,10,433.0
36,24,685.0
36,31,216.0
36,11,2333.0
36,18,800.0
36,17,12.0
36,32,62.0
36,54,84.0
36,38,333.0
36,49,28.0
36,51,1007.0
36,8,72.0
36,6,2682.0
36,29,14279.0
36,21,14.0
36,20,2306.0
36,37,286.0
36,47,91.0
36,45,1804.0
36,30,619.0
36,40,34.0
36,5,43983.0
36,4,15.0
36,35,26888.0
36,13,9305.0
36,1,94.0
36,28,12.0
36,48,3281.0
36,22,212.0
36,12,404.0
36,50,5201.0
36,2,321.0
36,15,13.0
36,33,183.0
36,27,200.0
36,25,80.0
36,41,75.0
44,23,6.0
44,26,65.0
44,36,22.0
44,16,11.0
44,55,34.0
44,9,12.0
44,46,8.0
44,56,5.0
44,34,8.0
44,42,10.0
44,53,2.0
44,39,5.0
44,10,3.0
44,24,22.0
44,31,12.0
44,11,5.0
44,18,10.0
44,17,2.0
44,32,8.0
44,54,52.0
44,38,46.0
44,49,1.0
44,51,12.0
44,8,7.0
44,6,70.0
