origin,destination,total_flow
23,26,340596.0
23,36,748515.0
23,44,115.0
23,16,210.0
23,55,31104.0
23,9,9659.0
23,46,1900.0
23,56,1108.0
23,34,30975.0
23,42,154411.0
23,53,32.0
23,19,151.0
23,39,3334.0
23,10,2200.0
23,24,4506.0
23,31,1917.0
23,11,771614.0
23,18,14123.0
23,17,93.0
23,32,333.0
23,54,566.0
23,38,2813.0
23,49,179.0
23,51,4234.0
23,8,407.0
23,6,16434.0
23,29,26038.0
23,21,65.0
23,20,9061.0
23,37,3301.0
23,47,624.0
23,45,8762.0
23,30,19641.0
23,40,131.0
23,5,28821.0
23,4,85.0
23,35,327621.0
23,13,232118.0
23,1,534.0
23,28,55.0
23,48,8862.0
23,22,1664.0
23,12,1074.0
23,50,53639.0
23,2,2198.0
23,15,52.0
23,33,1447.0
23,27,854.0
23,25,202.0
23,41,179.0
26,23,340596.0
26,36,1993593.0
26,44,1494.0
26,16,2636.0
26,55,103617.0
26,9,74918.0
26,46,7113.0
26,56,6092.0
26,34,92029.0
26,42,113874.0
26,53,578.0
26,19,2480.0
26,39,77933.0
26,10,19653.0
26,24,27079.0
26,31,10741.0
26,11,104884.0
26,18,41265.0
26,17,1560.0
26,32,3373.0
26,54,5409.0
26,38,15962.0
26,49,2579.0
26,51,50447.0
26,8,4104.0
26,6,88902.0
26,29,509947.0
26,21,1081.0
26,20,115390.0
26,37,18423.0
26,47,4746.0
26,45,86565.0
26,30,44682.0
26,40,2328.0
26,5,440636.0
26,4,1414.0
26,35,201497.0
26,13,323051.0
26,1,5094.0
26,28,1131.0
26,48,158662.0
26,22,9128.0
26,12,26955.0
26,50,184573.0
26,2,12540.0
26,15,943.0
26,33,10540.0
26,27,11569.0
26,25,7869.0
26,41,7853.0
36,23,748515.0
36,26,1993593.0
36,44,431.0
36,16,852.0
36,55,51624.0
36,9,30235.0
36,46,3481.0
36,56,2687.0
36,34,44142.0
36,42,28727.0
36,53,146.0
36,19,794.0
36,39,19064.0
36,10,8380.0
36,24,14085.0
36,31,3933.0
36,11,45920.0
36,18,14948.0
36,17,423.0
36,32,1157.0
36,54,1848.0
36,38,6641.0
36,49,811.0
36,51,20885.0
36,8,1232.0
36,6,55154.0
36,29,287109.0
36,21,308.0
36,20,46262.0
36,37,6420.0
36,47,1980.0
36,45,35446.0
36,30,12261.0
36,40,800.0
36,5,880491.0
36,4,442.0
36,35,541176.0
36,13,185988.0
36,1,1784.0
36,28,366.0
36,48,64753.0
36,22,3928.0
36,12,8758.0
36,50,103272.0
36,2,6454.0
36,15,270.0
36,33,4143.0
36,27,4197.0
36,25,1846.0
36,41,1504.0
44,23,115.0
44,26,1494.0
44,36,431.0
44,16,177.0
44,55,708.0
44,9,226.0
44,46,104.0
44,56,112.0
44,34,104.0
44,42,165.0
44,53,56.0
44,19,10.0
44,39,150.0
44,10,141.0
44,24,341.0
44,31,231.0
44,11,73.0
44,18,248.0
44,17,94.0
44,32,134.0
44,54,708.0
44,38,1127.0
44,49,8.0
44,51,269.0
44,8,200.0
44,6,1105.0
44,29,426.0
44,21,17.0
44,20,510.0
44,37,152.0
44,47,995.0
44,45,527.0
44,30,84.0
44,40,6.0
44,5,103.0
44,4,26.0
44,35,202.0
44,13,3950.0
44,1,329.0
44,48,272.0
44,22,1294.0
44,12,32.0
44,50,286881.0
44,2,173.0
44,15,36.0
44,33,489.0
44,27,39.0
44,25,8.0
44,41,5.0
16,23,210.0
16,26,2636.0
16,36,852.0
16,44,177.0
16,55,1333.0
16,9,379.0
16,46,320.0
16,56,426.0
16,34,209.0
16,42,204.0
16,53,676.0
16,19,16.0
16,39,238.0
16,10,279.0
16,24,803.0
16,31,1092.0
16,11,114.0
16,18,433.0
16,17,87268.0
16,32,347.0
16,54,11642.0
16,38,6639.0
16,49,25.0
16,51,505.0
16,8,418.0
16,6,2320.0
16,29,724.0
16,21,313.0
16,20,861.0
16,37,439.0
16,47,301954.0
16,45,1124.0
16,30,131.0
16,40,10.0
16,5,216.0
16,4,202.0
16,35,382.0
16,13,10436.0
16,1,14417.0
16,28,12.0
16,48,494.0
16,22,184895.0
16,12,51.0
16,50,209825.0
16,2,420.0
16,15,2353.0
16,33,11230.0
16,27,99.0
16,25,16.0
16,41,6.0
55,23,31104.0
55,26,103617.0
55,36,51624.0
55,44,708.0
55,16,1333.0
55,9,1841416.0
55,46,203592.0
55,56,22393.0
55,34,203844.0
55,42,12185.0
55,53,257.0
55,19,919.0
55,39,13610.0
55,10,9636.0
55,24,243659.0
55,31,109194.0
55,11,24007.0
55,18,1294904.0
55,17,758.0
55,32,12488.0
55,54,3187.0
55,38,11318.0
55,49,957.0
55,51,19237.0
55,8,2029.0
55,6,79536.0
55,29,34099.0
55,21,1190.0
55,20,225058.0
55,37,24669.0
